date,Weight,BodyFatPercentage,LeanBodyMass,StepCount,DistanceWalkingRunning,BasalCaloriesBurned,ActiveCaloriesBurned,CaloriesIn,TDEE,NetCalories,TrendWeight,TrendBodyFatPercentage,TrendLeanBodyMass,TrendBasalCaloriesBurned,TrendActiveCaloriesBurned,TrendCaloriesIn,TrendTDEE,TrendNetCalories
2022-01-21,,,,10064.0,7.590896989999999,2602.8739999999875,1176.3110000000006,,3779.184999999988,,108.3313441156596,0.3296489542790737,72.58178960060738,2542.101090015506,1003.9044019211508,735.9921245551121,3546.0054919366567,-3131.8572136099397
2022-01-22,,,,9870.0,7.303196696999997,2634.0109999999972,1167.5550000000003,,3801.5659999999975,,108.39397053942673,0.33032091979548706,72.55528806406264,2554.355744680105,1025.7244816649975,735.9921245551121,3580.0802263451023,-3131.8572136099397
2022-01-23,,,,9743.0,7.337828232,2580.6840000000043,1051.5000000000018,,3632.184000000006,,108.45549898632056,0.33099239135898734,72.52751330528328,2557.8661787227584,1029.1612174429981,735.9921245551121,3587.0273961657563,-3131.8572136099397
2022-01-24,,,,10383.0,7.7375120860000015,2626.8910000000024,1159.1440000000018,,3786.0350000000044,,108.51607585325753,0.33166343482996297,72.49863508723392,2567.069488226391,1046.4922551172654,735.9921245551121,3613.561743343656,-3131.8572136099397
2022-01-25,,,,7789.0,5.790016446000001,2521.473000000002,953.842000000001,,3475.315000000003,,108.57582801756523,0.3323341072874172,72.46880053781723,2560.9899564628727,1034.1388877682969,735.9921245551121,3595.128844231169,-3131.8572136099397
2022-01-26,,,,8119.0,6.121084357999997,2627.0880000000016,945.8750000000027,,3572.9630000000043,,108.63486543959422,0.33300445819981955,72.43813716788219,2569.8030289344897,1022.370369399191,735.9921245551121,3592.1733983336803,-3131.8572136099397
2022-01-27,109.07300028,0.33803,72.20277456000001,6756.0,4.590184119999999,2204.347999999999,795.4770000000001,,2999.824999999999,,108.69328341831499,0.33367453043984363,72.40675548683123,2521.0756917432245,992.1179201459655,735.9921245551121,3513.1936118891895,-3131.8572136099397
2022-01-28,,,,11036.0,8.078022692000001,2706.8160000000007,1376.0170000000003,,4082.833000000001,,108.76401084840633,0.3343263564887247,72.38477677658707,2545.8410661774615,1043.3044641265035,735.9921245551121,3589.1455303039643,-3131.8572136099397
2022-01-29,,,,8124.0,5.978654015999999,2613.378000000001,1058.9,,3672.278000000001,,108.84540646968549,0.33496236917194855,72.3709473077088,2554.8459906871335,1045.3838689096365,735.9921245551121,3600.2298595967695,-3131.8572136099397
2022-01-30,,,,873.0,0.6529046,2325.2030000000004,211.30599999999995,,2536.5090000000005,,108.93604785666076,0.3355846769382694,72.36418051468097,2524.2269252621827,934.1734863883516,735.9921245551121,3458.400411650534,-3131.8572136099397
